2024-09-24 22:30:44.208 [info] Starting Python Locator /home/vasant_sam/.vscode-server/extensions/ms-python.python-2024.14.1-linux-x64/python-env-tools/bin/pet server
2024-09-24 22:30:44.872 [info] Discovered env: /usr/bin/python3
2024-09-24 22:30:44.874 [info] Discovered env: /bin/python3
2024-09-24 22:30:51.669 [info] Locator Conda took 8.6502708s
2024-09-24 22:30:51.669 [info] Locator Homebrew took 538.3µs
2024-09-24 22:30:51.669 [info] Locator LinuxGlobal took 83.8208ms
2024-09-24 22:30:51.670 [info] Locator PipEnv took 86µs
2024-09-24 22:30:51.670 [info] Locator Poetry took 94.9312ms
2024-09-24 22:30:51.670 [info] Locator PyEnv took 125.8743ms
2024-09-24 22:30:51.670 [info] Locator Venv took 110.4µs
2024-09-24 22:30:51.670 [info] Locator VirtualEnv took 97.1µs
2024-09-24 22:30:51.670 [info] Locator VirtualEnvWrapper took 1.0334ms
2024-09-24 22:30:51.670 [info] Locator GlobalVirtualEnvs took 7.4984ms
2024-09-24 22:30:51.670 [info] Locator Locators took 8.6516015s
2024-09-24 22:30:51.670 [info] Locator Path took 791.4869ms
2024-09-24 22:30:51.670 [info] Locator Workspaces took 6.8µs
2024-09-24 22:30:51.670 [info] Refresh completed in 8651ms
